Pl.,Bib,Noc,Name,Split 1,Split 2,Split 3,Split 4,Time,Gap
63,67,USA,Colby Smith,0:35.446,1:02.587,1:40.951,2:17.838,2:48.859,+21.716
64,52,USA,Jonah Freedman,0:34.669,1:01.655,1:40.202,2:17.597,2:48.907,+21.764
65,64,USA,Aaron Vargas,0:35.950,1:03.087,1:41.147,2:18.331,2:49.175,+22.032
66,59,USA,Colin Mulally,0:34.552,1:02.472,1:42.509,2:19.719,2:49.618,+22.475
67,81,USA,Maxwell Brown,0:33.772,0:59.594,1:45.416,2:21.088,2:50.832,+23.689
68,71,USA,Cristian Suarez,0:35.905,1:04.045,1:42.466,2:19.324,2:51.250,+24.107
69,51,USA,Max Canterbury,0:36.014,1:03.957,1:42.812,2:19.928,2:51.479,+24.336
70,63,USA,Alex Anderson,0:35.850,1:04.140,1:43.412,2:20.775,2:51.935,+24.792
71,72,USA,Jett Lloyd,0:36.061,1:04.375,1:43.201,2:21.088,2:52.102,+24.959
72,70,CAN,Xavier Letendre,0:37.798,1:05.583,1:46.041,2:23.686,2:55.524,+28.381
73,46,USA,Esteban zuluaga,0:35.610,1:05.768,1:45.022,2:23.266,2:55.640,+28.497
74,40,USA,Fred LaRiviere,0:33.498,0:59.462,1:35.101,2:27.542,2:59.739,+32.596
75,78,USA,Shay Konieczka,0:44.979,1:13.344,1:52.608,2:29.791,3:01.371,+34.228
76,33,USA,Gavin Tomlinson,0:37.237,1:08.607,1:49.330,2:32.563,3:06.146,+39.003
77,61,USA,Matt Mitchko,0:32.876,0:58.630,3:36.235,4:10.624,4:39.813,+2:12.670
-,5,USA,Dakotah Norton,0:32.654,0:57.204,4:03.515,5:40.088,DNF,
-,44,CAN,Alexis Gagne,0:33.553,1:02.735,,,DNF,
-,35,USA,Drake Parker,,,,,DNF,
