Pl.,Plate,Nation,Name,Team,PDS Licence,Split 1,Split 2,Split 3,Split 4,Time,Gap
44,43,,BODIE HEFLIN,Rooted MTB,PDS00017,0:19.110,1:07.128,1:36.799,1:52.273,2:05.071,+13.365
45,19,,MICHAEL DELESALLE,Gwin Racing,PDS00844,0:18.727,1:10.685,1:39.305,1:53.964,2:06.067,+14.361
46,46,,JORDAN BOULDIN,Gearwork/Mountain Training Systems,PDS01099,0:19.786,1:07.958,1:38.188,1:54.015,2:06.559,+14.853
47,60,,NICOLAS MORALES MORENO,Con con Downhill,PDS01149,0:19.845,1:08.242,1:38.180,1:54.155,2:06.705,+14.999
48,52,,JONAH FREEDMAN,100%/Maxxis/Fox Factory/RaceFace/BikeDoctorFred/Univ of Tennessee/MTS/HillsSkills/ODI,PDS00014,0:19.271,1:07.617,1:38.227,1:54.135,2:06.985,+15.279
49,59,,CARTER LINDBLOM,"""""""""Blue Wheel R&amp",PDS01220,0:20.220,1:09.560,1:39.930,1:55.355,2:08.428,+16.722
50,35,,COLIN MULALLY,Frameworks / Camp Three,PDS00031,0:20.005,1:09.545,1:40.141,1:55.688,2:08.508,+16.802
51,34,,MAX LIGMAN,,PDS00213,0:19.773,1:09.946,1:40.798,1:56.749,2:09.311,+17.605
52,37,,COLBY SMITH,Xtreme Gravity Racing / BikeSource Charlotte / Deity Components,PDS00216,0:19.793,1:09.327,1:40.930,1:57.866,2:10.717,+19.011
53,50,,JARED CALHOUN,"7 protection, Rogue trails, BC goggles, Oz suspension, Ryno power, Rama Components",PDS01011,0:19.186,1:06.399,1:45.053,2:00.423,2:13.422,+21.716
54,38,,XANDER LEFEBVRE,Outlive,PDS00212,0:20.242,1:11.354,1:42.911,2:00.594,2:14.733,+23.027
55,71,,COLTON PETERSON,Specialized Team,PDS01153,0:18.253,1:15.694,1:45.991,2:01.186,2:14.747,+23.041
56,42,,AIDAN SCHUH,Legacy Bike Park/Lennys Bike Shop/Maxxis,PDS01034,0:20.260,1:12.598,1:45.510,2:02.818,2:19.547,+27.841
57,65,,DEXTER WILSON,"Pivot, ote, ride nf, coastal optics, hydro power, savages bike shop",PDS00472,0:20.416,1:14.541,1:51.182,2:08.997,2:22.910,+31.204
58,58,,ELDRICK LAUZIER,Giant Montreal FISI,PDS00929,0:21.323,1:16.567,1:52.658,2:10.327,2:23.632,+31.926
-,27,,BRAEDYN DAVIS,SBR Gravity Racing,PDS00733,0:18.676,1:05.184,1:34.251,5:00.041,DNF,
-,68,,RYAN ZINZOW,"Broken Spoke Gravity, SR Suntour",PDS01177,,,,,DNF,
