Pl.,Bib,Noc,Name,PDS Licence,Split 1,Split 2,Split 3,Split 4,Time,Gap
59,60,USA,Dylan CONTE,PDS00064,0:22.536,1:08.040,1:34.764,1:50.298,2:02.477,+9.452
60,53,USA,Austin HAESSLY,PDS00121,0:22.241,1:07.562,1:35.027,1:51.105,2:02.543,+9.518
61,115,CAN,Travis GOLLER,PDS01668,0:22.210,1:07.778,1:35.004,1:51.129,2:03.026,+10.001
62,118,USA,Cj FIGUEROA,PDS00770,0:23.532,1:08.368,1:34.940,1:51.334,2:03.088,+10.063
63,63,USA,Luca COMETTI,PDS01013,0:22.252,1:08.055,1:35.491,1:51.814,2:03.303,+10.278
64,65,USA,Jordan BOULDIN,PDS01099,0:22.981,1:08.812,1:35.576,1:51.693,2:03.325,+10.300
65,171,USA,Levi LLOYD,PDS00178,0:22.532,1:09.034,1:36.221,1:52.348,2:03.758,+10.733
66,141,USA,Luka JONES,PDS00173,0:22.964,1:08.618,1:35.919,1:52.453,2:04.021,+10.996
67,123,USA,Sullivan NOTARO,PDS00452,0:23.039,1:08.274,1:35.833,1:52.219,2:04.212,+11.187
68,137,USA,Liam SEXSON,PDS00867,0:22.675,1:09.841,1:36.932,1:52.364,2:04.252,+11.227
69,172,CAN,Andy HUDON,PDS00171,0:22.384,1:08.973,1:36.498,1:52.421,2:04.433,+11.408
70,130,USA,Griffin CLAYTON,PDS00161,0:22.699,1:09.584,1:36.842,1:52.462,2:04.482,+11.457
71,122,USA,Carson MORGAN,PDS00181,0:22.879,1:09.781,1:37.028,1:52.941,2:04.587,+11.562
72,136,USA,Kade STEIMEL,PDS00662,0:22.825,1:10.192,1:37.747,1:53.686,2:04.872,+11.847
73,166,USA,Brodey WALKER,PDS00748,0:22.977,1:09.753,1:37.387,1:53.579,2:04.883,+11.858
74,64,USA,Bodie HEFLIN,PDS00017,0:23.836,1:09.935,1:36.732,1:53.106,2:04.952,+11.927
75,120,USA,Sam SCHMIDT,PDS01196,0:23.533,1:10.495,1:37.857,1:53.855,2:05.217,+12.192
76,114,CAN,Tobia GADOTTI,PDS01132,0:22.943,1:09.855,1:37.415,1:53.643,2:05.296,+12.271
77,138,USA,Nico PFEIFER,PDS00651,0:22.516,1:08.975,1:36.941,1:53.822,2:05.361,+12.336
78,54,USA,Walker COTTINGHAM,PDS00109,0:22.866,1:09.719,1:35.075,1:53.519,2:05.363,+12.338
79,125,USA,Connor CLIFFORD,PDS00162,0:22.617,1:09.920,1:37.868,1:53.984,2:05.554,+12.529
80,29,USA,Gavin TOMLINSON,PDS00152,0:25.367,1:11.469,1:38.389,1:54.102,2:05.784,+12.759
81,119,USA,Luca DEMAS,PDS00453,0:27.454,1:11.483,1:37.359,1:52.705,2:06.107,+13.082
82,40,CAN,Alexis GAGNE,PDS01777,0:25.654,1:11.156,1:37.862,1:54.291,2:06.123,+13.098
83,129,USA,Ryder GRISSOM,PDS01368,0:22.621,1:09.730,1:37.689,1:54.211,2:06.397,+13.372
84,28,CAN,Rafe HUDSON,PDS01612,0:23.294,1:11.226,1:38.843,1:54.730,2:06.466,+13.441
85,84,CAN,Teren GERBER,PDS00614,0:23.039,1:11.088,1:38.872,1:54.921,2:06.541,+13.516
86,148,USA,Rowan CLARK,PDS00160,0:23.138,1:09.875,1:38.498,1:55.050,2:06.818,+13.793
87,110,CAN,Owen BAILLIE,PDS01102,0:22.869,1:09.745,1:37.714,1:54.945,2:06.916,+13.891
88,124,USA,Nick FRAZIER,PDS00163,0:22.384,1:11.315,1:38.750,1:54.917,2:06.917,+13.892
89,61,USA,Peyton HURT,PDS00128,0:22.814,1:09.880,1:37.707,1:54.706,2:07.079,+14.054
90,163,CAN,Ludovic LALIBERTE,PDS00176,0:23.152,1:11.620,1:39.297,1:55.683,2:07.314,+14.289
